DemocraticRepublicoftheCongo	7887.87	79.30	58.01	731.51	0.031184465	0.341736	-0.092744829
Cameroon	6630.39	22.54	68.02	3017.32	0.028789614	0.117014211	-0.016780279
UnitedStates2	13581.3325	319.13	17393.1	54501.585	0.009661856	0.219916364	0.007018454
Canada2	1438.9595	35.497	1599.069	45048.59	0.01011117	0.217673636	0.007730934
Mexico2	13590.4173	119.713	2153.322	17987.34	0.012463048	0.222612727	0.006758997
UnitedKingdom2	1602.4141	64.597	2614.515	40474.243	0.00593435	0.17324	0.011727253
Ireland2	163.1673	4.61	238.994	51846.955	0.018807905	0.260815455	0.021583875
Germany2	2435.043	81.198	3763.229	46346.588	-0.00108071	0.206092727	0.011945248
Belgium2	354.2451	11.204	482.951	43105.222	0.005372549	0.229493636	0.013128158
Netherlands2	585.9576	16.865	815.618	48361.594	0.004653562	0.218533636	0.011788901
Switzerland2	538.6554	8.14	474.126	58246.438	0.00747771	0.24306	0.016113764
Luxembourg2	34.5036	0.55	52.859	96163.111	0.014423963	0.204203636	0.013280997
Austria2	271.7587	8.544	397.323	46503.563	0.004064667	0.244163636	0.01644012
Denmark2	1754.27	5.627	253.529	45053.886	0.003641443	0.221704545	0.002995965
Sweden2	3417.356	9.747	450.87	46255.624	0.004879501	0.224626364	0.01746584
Finland2	173.9018	5.451	222.077	40738.613	0.003112695	0.233429091	0.019541497
Norway2	2635.181	5.156	347.692	67428.54	0.007908819	0.230197273	0.011009762
Iceland2	994.7413	0.329	14.452	43912.868	0.012960589	0.2471	0.020648898
France2	1877.1406	63.982	2604.306	40703.674	0.00629587	0.222636364	0.006357081
Italy2	1607.8813	60.783	2135.947	35140.729	0.003985481	0.210365455	0.001637915
Spain2	979.5058	46.455	1551.286	33393.223	0.013502172	0.280765455	0.006153585
Portugal2	172.4269	10.401	283.121	27220.319	0.003585697	0.249137273	0.002976613
Greece2	219.4866	10.927	284.165	26006.227	0.003360656	0.246663636	0.026762996
Cyprus2	14.1829	0.858	27.389	31921.556	0.015218456	0.224173636	0.024545998
Israel2	770.8931	8.212	275.319	33526.145	0.020781707	0.208461818	0.015345432
Poland2	1113.5129	38.018	961.309	25285.733	-0.001239845	0.21776	0.055613782
Hungary2	21000.3082	9.877	248.898	25199.781	-0.002226605	0.253424545	0.028473195
CzechRepublic2	3343.817	10.512	319.919	30432.452	0.001114792	0.299499091	0.014981697
SlovakRepublic2	51.3838	5.416	154.069	28446.755	-0.000101286	0.280880909	0.038862022
Latvia2	16.6802	2.001	47.153	23558.981	-0.010191757	0.308780909	0.047229169
Estonia2	13.6613	1.316	36.831	27991.262	-0.006	0.32054	0.03457414
Lithuania2	24.2631	2.932	80.363	27405.56	-0.010413125	0.225005455	0.048641797
Albania2	486.896	2.894	31.441	10865.589	-0.006017627	0.329020909	0.080231181
Serbia2	2469.2553	7.132	95.949	13453.667	-0.003011991	0.219226364	0.021511769
Slovenia2	32.0705	2.061	61.672	29922.312	0.002129684	0.283309091	0.013092742
Croatia2	302.3687	4.238	88.849	20964.765	-0.001464905	0.26132	0.014083161
Bulgaria2	58.8079	7.202	131.762	18294.721	-0.006260413	0.259944545	0.059828035
Romania2	438.249	19.947	395.495	19826.996	-0.008951176	0.245265455	0.063615686
Turkey2	846.1253	77.324	1518.395	19636.782	0.013056378	0.244969091	0.030434314
Russia2	61922.52	143.429	3827.879	26688.242	-0.002683071	0.192580909	0.071213382
Ukraine2	975.3929	42.76	373.406	8732.652	-0.007153248	0.221408182	0.070628147
Belarus2	47.2795	9.468	173.211	18294.352	-0.004925159	0.29339	0.10111048
Kazakhstan2	9509.9062	17.422	448.13	25722.259	0.00731304	0.272193636	0.084339482
Georgia2	7.9741	3.73	34.349	9210.155	-0.010817773	0.277672727	0.067050609
Moldova2	7.2931	3.558	17.836	5013.315	-0.002165258	0.278975455	0.058794448
Armenia2	1983.5578	2.985	24.389	8169.984	-0.004178588	0.270934545	0.085925518
Azerbaijan2	12.1691	9.342	166.154	17785.189	0.011389188	0.312858182	0.193275992
Uzbekistan2	450.5384	30.604	172.523	5637.277	0.011155759	0.247363636	0.061044081
Tajikistan2	0.1045	8.302	22.432	2701.855	0.021812142	0.164800909	0.072247008
Turkmenistan2	29.774	5.313	82.475	15521.91	0.011398171	0.247363636	0.153622094
KyrgyzRepublic2	97.4574	5.895	19.399	3290.7	0.010956093	0.200272727	0.032445233
India2	50879.2333	1275.921	7356.728	5765.82	0.016214664	0.307952727	0.056020292
Pakistan2	6742.5012	186.19	885.869	4757.874	0.023285325	0.176056364	0.02302962
SriLanka2	4484.2353	20.964	211.052	10067.248	0.012118234	0.273624545	0.048140303
Nepal2	474.473	28.175	67.613	2399.774	0.014373621	0.246566364	0.017301076
IslamicRepublicofIran2	4794894.965	78.47	1358.796	17316.077	0.015052757	0.415037273	0.031581535
Bangladesh2	4372.9849	158.217	537.293	3395.912	0.014593166	0.253107273	0.03907087
Myanmar2	23759.5302	51.419	262.62	5107.409	0.007793372	0.127378182	0.104005698
